1. Lionel Messi (Argentin, Attaquant, 33 ans, Peau claire, FC Barcelone, Espagne)
23. Casemiro (Brésilien, Milieu de terrain, 28 ans, Peau foncée, Real Madrid, Espagne)
24. Mats Hummels (Allemand, Défenseur, 30 ans, Peau claire, Borussia Dortmund, Allemagne)
25. Raheem Sterling (Anglais, Attaquant, 24 ans, Peau foncée, Manchester City, Angleterre)
26. Pierre-Emerick Aubameyang (Gabonais, Attaquant, 30 ans, Peau foncée, Arsenal, Angleterre)
27. Virgil van Dijk (Hollandais, Défenseur, 28 ans, Peau claire, Liverpool FC, Angleterre)
28. Sergio Agüero (Argentin, Attaquant, 32 ans, Peau foncée, Manchester City, Angleterre)
29. Jérôme Boateng (Allemand, Défenseur, 31 ans, Peau foncée, Bayern Munich, Allemagne)
30. James Rodríguez (Colombien, Milieu offensif, 28 ans, Peau foncée, Real Madrid, Espagne)
31. Cesc Fàbregas (Espagnol, Milieu de terrain, 33 ans, Peau claire, Monaco, France)
32. Gonzalo Higuaín (Argentin, Attaquant, 32 ans, Peau claire, Inter Milan, Italie)
33. Jordi Alba (Espagnol, Défenseur, 31 ans, Peau claire, FC Barcelone, Espagne)
34. David Silva (Espagnol, Milieu offensif, 34 ans, Peau claire, Manchester City, Angleterre)
35. Isco (Espagnol, Milieu offensif, 28 ans, Peau claire, Real Madrid, Espagne)
36. Jan Oblak (Slovène, Gardien de but, 27 ans, Peau claire, Atlético Madrid, Espagne)
37. Koke (Espagnol, Milieu de terrain, 28 ans, Peau claire, Atlético Madrid, Espagne)
38. Arturo Vidal (Chilien, Milieu de terrain, 32 ans, Peau foncée, FC Barcelone, Espagne)
39. Marco Verratti (Italien, Milieu de terrain, 27 ans, Peau claire, Paris Saint-Germain, France)
40. Angel Di Maria (Argentin, Milieu offensif, 32 ans, Peau foncée, Paris Saint-Germain, France)
41. Ivan Rakitić (Croate, Milieu de terrain, 32 ans, Peau claire, FC Barcelone, Espagne)
42. Diego Godin (Uruguayen, Défenseur, 34 ans, Peau foncée, Inter Milan, Italie)
43. Thomas Müller (Allemand, Attaquant, 30 ans, Peau claire, Bayern Munich, Allemagne)
44. Philippe Coutinho (Brésilien, Milieu offensif, 27 ans, Peau foncée, Bayern Munich, Allemagne)
45. Marcelo (Brésilien, Défenseur, 31 ans, Peau foncée, Real Madrid, Espagne)
46. David Alaba (Autrichien, Défenseur, 27 ans, Peau claire, Bayern Munich, Allemagne)
47. Blaise Matuidi (Français, Milieu de terrain, 33 ans, Peau foncée, Inter Milan, Italie)
48. Axel Witsel (Belge, Milieu de terrain, 30 ans, Peau claire, Borussia Dortmund, Allemagne)
49. Andrés Iniesta (Espagnol, Milieu offensif, 36 ans, Peau claire, Vissel Kobe, Japon)
50. Diego Costa (Espagnol, Attaquant, 31 ans, Peau foncée, Atlético Madrid, Espagne)
51. Paulo Dybala (Argentin, Attaquant, 26 ans, Peau claire, Juventus FC, Italie)
52. Alvaro Morata (Espagnol, Attaquant, 27 ans, Peau claire, Atlético Madrid, Espagne)
53. Miralem Pjanić (Bosnien, Milieu de terrain, 30 ans, Peau claire, Juventus FC, Italie)
54. Sami Khedira (Allemand, Milieu de terrain, 32 ans, Peau claire, Juventus FC, Italie)
55. Marc-André ter Stegen (Allemand, Gardien de but, 27 ans, Peau claire, FC Barcelone, Espagne)
56. Mario Götze (Allemand, Attaquant, 27 ans, Peau claire, Borussia Dortmund, Allemagne)
57. Javi Martínez (Espagnol, Milieu de terrain, 31 ans, Peau claire, Bayern Munich, Allemagne)
58. Gerard Piqué (Espagnol, Défenseur, 32 ans, Peau claire, FC Barcelone, Espagne)
59. Leon Goretzka (Allemand, Milieu de terrain, 24 ans, Peau claire, Bayern Munich, Allemagne)
60. Franck Ribéry (Français, Milieu offensif, 36 ans, Peau foncée, Fiorentina, Italie)
61. Xherdan Shaqiri (Suisse, Milieu offensif, 28 ans, Peau claire, Liverpool FC, Angleterre)
62. Yannick Carrasco (Belge, Milieu offensif, 26 ans, Peau claire, Atlético Madrid, Espagne)
63. Dries Mertens (Belge, Attaquant, 32 ans, Peau claire, Napoli, Italie)
64. Ousmane Dembélé (Français, Attaquant, 22 ans, Peau foncée, FC Barcelone, Espagne)
65. Douglas Costa (Brésilien, Milieu offensif, 29 ans, Peau foncée, Juventus FC, Italie)
66. Serge Gnabry (Allemand, Attaquant, 24 ans, Peau claire, Bayern Munich, Allemagne)
67. Lorenzo Insigne (Italien, Attaquant, 28 ans, Peau claire, Napoli, Italie)
68. Axel Tuanzebe (Anglais, Défenseur, 22 ans, Peau foncée, Manchester United, Angleterre)
69. Hakan Calhanoglu (Turc, Milieu offensif, 26 ans, Peau claire, Milan AC, Italie)
70. Son Heung-Min (Coréen, Attaquant, 27 ans, Peau claire, Tottenham Hotspur, Angleterre)
71. Julian Draxler (Allemand, Milieu offensif, 26 ans, Peau claire, Paris Saint-Germain, France)
72. Josip Iličić (Croate, Milieu offensif, 31 ans, Peau claire, Atalanta, Italie)
73. Marek Hamšík (Slovaque, Milieu de terrain, 32 ans, Peau claire, Dalian Yifang, Chine)
74. N'Golo Kanté (Français, Milieu de terrain, 28 ans, Peau foncée, Chelsea, Angleterre)
75. Giorgio Chiellini (Italien, Défenseur, 35 ans, Peau claire, Juventus FC, Italie)
76. Henrikh Mkhitaryan (Arménien, Milieu offensif, 31 ans, Peau claire, Roma, Italie)
77. Paulinho (Brésilien, Milieu de terrain, 30 ans, Peau foncée, Guangzhou Evergrande, Chine)
78. Ricardo Quaresma (Portugais, Milieu offensif, 35 ans, Peau foncée, Kasımpaşa SK, Turquie)
79. Juanfran (Espagnol, Défenseur, 34 ans, Peau claire, Atlético Madrid, Espagne)
80. Diego Perotti (Argentin, Milieu offensif, 31 ans, Peau foncée, Roma, Italie)
81. Mario Mandžukić (Croate, Attaquant, 34 ans, Peau claire, Al-Duhail, Qatar)
82. Keylor Navas (Costaricien, Gardien de but, 32 ans, Peau foncée, Paris Saint-Germain, France)
83. Mauro Icardi (Argentin, Attaquant, 26 ans, Peau claire, Paris Saint-Germain, France)
84. Juan Mata (Espagnol, Milieu offensif, 31 ans, Peau claire, Manchester United, Angleterre)
85. Claudio Marchisio (Italien, Milieu de terrain, 33 ans, Peau claire, Zenit Saint-Pétersbourg, Russie)
86. Serge Aurier (Ivoirien, Défenseur, 27 ans, Peau foncée, Tottenham Hotspur, Angleterre)
87. Ciro Immobile (Italien, Attaquant, 29 ans, Peau claire, Lazio Rome, Italie)
88. Sokratis Papastathopoulos (Grec, Défenseur, 32 ans, Peau claire, Arsenal, Angleterre)
89. Fred (Brésilien, Milieu de terrain, 27 ans, Peau foncée, Manchester United, Angleterre)
90. Leon Bailey (Jamaïcain, Milieu offensif, 21 ans, Peau foncée, Bayer Leverkusen, Allemagne)
91. Felipe Anderson (Brésilien, Milieu offensif, 26 ans, Peau foncée, West Ham United, Angleterre)
92. Emre Can (Allemand, Milieu de terrain, 25 ans, Peau claire, Juventus FC, Italie)
93. Lucas Torreira (Uruguayen, Milieu de terrain, 23 ans, Peau foncée, Arsenal, Angleterre)
94. Marco Asensio (Espagnol, Milieu offensif, 23 ans, Peau claire, Real Madrid, Espagne)
95. Hirving Lozano (Mexicain, Attaquant, 24 ans, Peau foncée, Napoli, Italie)
96. Christian Eriksen (Danois, Milieu offensif, 28 ans, Peau claire, Inter Milan, Italie)
97. Dimitri Payet (Français, Milieu offensif, 32 ans, Peau claire, Olympique Marseille, France)
98. Javier Pastore (Argentin, Milieu offensif, 30 ans, Peau foncée, Roma, Italie)
99. Sofiane Feghouli (Algérien, Milieu offensif, 29 ans, Peau foncée, Galatasaray, Turquie)
100. Yuto Nagatomo (Japonais, Défenseur, 33 ans, Peau claire, Inter Milan, Italie)
